Time2,EP1_I02_AN00037,EP1_I03_AN00037,EP1_I06_AN00037,EP1_I09_AN00037,EP1_I10_AN00037,EP1_I12_AN00037,Time
2020-08-10 00:00:00,26.402556883333332,,26.02402248333335,25.364945416666668,25.654568883333337,25.663889700000006,2020-08-10 00:00:00
2020-08-10 01:00:00,26.22180371666666,,25.776248150000015,25.156976216666656,25.560734883333343,25.34742625,2020-08-10 01:00:00
2020-08-10 02:00:00,25.880495266666692,,25.440226599999995,24.68071063333333,25.172427433333322,24.860467900000007,2020-08-10 02:00:00
2020-08-10 03:00:00,24.867285016666667,,24.582534433333333,23.988563583333328,24.203915399999996,23.85275774999998,2020-08-10 03:00:00
2020-08-10 04:00:00,24.18829803333333,,23.93709158333335,23.412627683333344,23.653960200000007,23.449657683333335,2020-08-10 04:00:00
2020-08-10 05:00:00,22.474084516666675,,22.556555783333334,22.02598671666665,22.74199633333332,22.00872344999999,2020-08-10 05:00:00
2020-08-10 06:00:00,26.183791583333328,,29.18269148333333,26.789213066666665,28.162851966666675,25.41602731666667,2020-08-10 06:00:00
2020-08-10 07:00:00,33.977649349999986,,34.500356016666665,40.15332229999999,41.80649616666668,32.74784646666667,2020-08-10 07:00:00
2020-08-10 08:00:00,40.859218816666655,,34.534827116666655,47.80281673333331,47.88858691666667,40.49146885,2020-08-10 08:00:00
2020-08-10 09:00:00,44.17933591666663,,37.18077036666666,53.3247696,53.52268061666667,48.816713516666674,2020-08-10 09:00:00
2020-08-10 10:00:00,49.024574816666664,,41.27083483333334,58.06006926666669,59.29371896666668,54.49060871666667,2020-08-10 10:00:00
2020-08-10 11:00:00,43.67458853333334,,45.719144250000014,52.596031083333315,52.984805349999995,52.672168416666665,2020-08-10 11:00:00
2020-08-10 12:00:00,46.2500788,,50.939220199999994,56.68445941666668,56.978312149999994,56.17547563333334,2020-08-10 12:00:00
2020-08-10 13:00:00,47.377472866666686,,54.42932534999999,54.35258381666666,56.84140369999999,55.04559976666665,2020-08-10 13:00:00
2020-08-10 14:00:00,46.34103893333334,,54.07575684999999,52.85522716666667,52.63742573333334,48.57957200000001,2020-08-10 14:00:00
2020-08-10 15:00:00,39.71793163333332,,44.05917825000001,43.669722516666674,43.666936249999985,39.560910050000004,2020-08-10 15:00:00
2020-08-10 16:00:00,38.685778783333326,,43.78642175,42.218445366666664,42.91501208333333,36.57119550000001,2020-08-10 16:00:00
2020-08-10 17:00:00,31.56013035,,33.87068943333333,31.985278299999987,33.1161916,31.22163586666666,2020-08-10 17:00:00
2020-08-10 18:00:00,28.769850150000007,,28.74814353333334,28.35076603333333,28.863851849999996,28.329211933333333,2020-08-10 18:00:00
2020-08-10 19:00:00,26.630244999999984,,26.58554681666667,26.038310783333326,26.779233850000008,26.144680799999996,2020-08-10 19:00:00
2020-08-10 20:00:00,25.260384616666673,,25.37213085000001,24.77670241666666,25.518611700000008,24.84390248333334,2020-08-10 20:00:00
2020-08-10 21:00:00,24.300635233333352,,24.396491899999997,23.825096166666658,24.71475063333333,23.86982474999999,2020-08-10 21:00:00
2020-08-10 22:00:00,24.477024316666668,,24.495985983333323,24.108695483333324,24.775901283333337,24.194257583333336,2020-08-10 22:00:00
2020-08-10 23:00:00,23.319120883333326,,23.457644716666657,22.89903363333333,23.678256666666666,23.041355883333335,2020-08-10 23:00:00
2020-08-11 00:00:00,22.599394916666675,,22.78842326666667,22.039578600000006,22.945315366666687,22.267678350000004,2020-08-11 00:00:00
2020-08-11 01:00:00,22.488251216666676,,22.681350283333334,22.13063706666667,22.97851428333335,22.225696833333345,2020-08-11 01:00:00
2020-08-11 02:00:00,22.55033071666667,,22.71922013333334,22.053780066666658,22.86532951666667,22.238132200000006,2020-08-11 02:00:00
2020-08-11 03:00:00,22.122361799999997,,22.133718950000013,21.755196616666673,22.18313109999999,21.824855633333343,2020-08-11 03:00:00
2020-08-11 04:00:00,22.25416613333334,,22.36492676666667,21.93492938333333,22.474695583333336,22.100950033333334,2020-08-11 04:00:00
2020-08-11 05:00:00,22.20451415,,22.23010311666666,21.80958553333333,22.234685449999994,21.956687966666657,2020-08-11 05:00:00
2020-08-11 06:00:00,22.996858766666673,,23.44011545,22.81036074999999,23.553988683333344,22.7917454,2020-08-11 06:00:00
2020-08-11 07:00:00,34.23114820000001,,31.173489349999997,36.79854233333333,37.58050388333334,30.318373099999995,2020-08-11 07:00:00
2020-08-11 08:00:00,44.93335255,,34.97551423333333,48.678934216666654,51.05404051666668,40.887791966666676,2020-08-11 08:00:00
2020-08-11 09:00:00,40.07396386666669,,36.50933335,42.41905874999998,43.089959716666655,39.35413361666667,2020-08-11 09:00:00
2020-08-11 10:00:00,30.698609899999994,,31.197039383333337,31.442093383333336,31.9896321,31.109485383333336,2020-08-11 10:00:00
2020-08-11 11:00:00,35.325501016666664,,35.332647766666675,38.27197166666668,39.69782920000001,38.34933733333334,2020-08-11 11:00:00
2020-08-11 12:00:00,40.941896583333346,,44.82113653333335,44.6898183,45.50031536666666,46.37390800000001,2020-08-11 12:00:00
2020-08-11 13:00:00,37.917768866666684,,41.07721250000001,39.198763916666664,41.30033360000001,41.43714096666667,2020-08-11 13:00:00
2020-08-11 14:00:00,40.02299695,,44.551672416666655,44.03731995000001,45.986826566666664,45.16308339999999,2020-08-11 14:00:00
2020-08-11 15:00:00,36.298712683333335,,37.462978683333326,38.35228581666667,38.76115161666666,37.3607686,2020-08-11 15:00:00
2020-08-11 16:00:00,32.540459583333316,,33.33433531666666,33.174898116666654,33.99545698333332,33.4268849,2020-08-11 16:00:00
