Time2,Ambient Temp [°C],Pressure         [hPa],Humidity           [%],Wind Direction ,Wind Speed [m/s],Radiance 1 [w/m2],Radiance 2 [w/m2],Horizontal Rad [w/m2],Diffuse Rad [w/m2],Rain             [mm],Time2
2020-11-19 11:00:00,29.440191141333337,1004.2484883610008,62.36447035416666,216.72397147816665,0.5461343048333334,0.0,498.1631067921666,495.9435267131666,359.8087041218331,0.0,2020-11-19 11:00:00
2020-11-19 12:00:00,29.82521362300001,1003.2107727051667,61.14907449133332,237.58072341200008,0.6187995018333335,0.0,451.7207463576666,450.2640599568332,352.51554158500016,0.0,2020-11-19 12:00:00
2020-11-19 13:00:00,31.38179270383333,1002.0561126703344,58.04281272849998,161.10602919283332,1.289543216333334,0.0,749.0697764078333,756.2392110186667,652.8262446081663,0.0,2020-11-19 13:00:00
2020-11-19 14:00:00,31.613215636999993,1000.8882832848332,57.61210320749999,181.19427204216663,1.2367752460000003,0.0,471.25133616133337,478.9323394776665,434.93801116983326,0.0,2020-11-19 14:00:00
2020-11-19 15:00:00,31.791560364000002,1000.4869964606667,55.69323628783333,178.13853301983337,0.9468511631666671,0.0,343.79565404233347,354.6512227376667,333.4750968933333,0.0,2020-11-19 15:00:00
2020-11-19 16:00:00,30.364890543333328,1000.2884175618323,61.490705172333335,220.07234878516664,0.857728814,0.0,119.52414614449991,127.2460276285,128.8412278493333,0.0,2020-11-19 16:00:00
2020-11-19 17:00:00,27.8313573205,1000.6772888183324,75.68049583466667,269.27452799450015,0.02142057266666667,0.0,8.965116551666673,9.826665225,9.455520341333333,0.0,2020-11-19 17:00:00
2020-11-19 18:00:00,25.914581807,1001.1034362779994,87.72524719216663,199.4904365143334,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-19 18:00:00
2020-11-19 19:00:00,25.57684326216665,1002.0478302004994,91.05969530799999,249.10008805516676,0.14901386050000004,0.0,0.0,0.0,0.0,0.0,2020-11-19 19:00:00
2020-11-19 20:00:00,24.970652771833322,1002.9707621256669,94.48218104033339,130.43227892716658,0.0,0.0,0.0035759915000000003,0.0,0.0009771428333333334,0.0,2020-11-19 20:00:00
2020-11-19 21:00:00,24.882854716166673,1003.840873210668,93.37061373366663,231.24319318083337,0.05148804016666666,0.0,0.0,0.0,0.0,0.0,2020-11-19 21:00:00
2020-11-19 22:00:00,24.261362203166676,1003.8021291100013,93.98526471449999,263.28304828033333,0.0169004575,0.0,0.0021024443333333333,0.0,0.0,0.0,2020-11-19 22:00:00
2020-11-19 23:00:00,23.904202780666676,1003.1934600818336,96.23406486516664,258.28309082166663,0.04357783933333333,0.0,0.015768332666666662,0.0,0.0,0.0,2020-11-19 23:00:00
2020-11-20 00:00:00,23.616346514754103,1002.8037899822957,97.42648002786886,253.2158613439343,0.023292422295081966,0.0,0.01778551426229508,0.0,0.002883372295081967,0.0,2020-11-20 00:00:00
2020-11-20 01:00:00,23.708245849666678,1002.0278432193332,98.03416303,233.79988028233328,0.06278832716666666,0.0,0.030283461333333334,0.0,0.001954285666666667,0.0,2020-11-20 01:00:00
2020-11-20 02:00:00,23.42763061566667,1002.0631703680016,98.2513023368333,149.71002496866674,0.0,0.0,0.034061434999999994,0.0024712411666666665,0.005670841833333333,0.0,2020-11-20 02:00:00
2020-11-20 03:00:00,23.569691467,1001.9347747780015,98.57669054683329,227.39895734783332,0.0,0.0,0.038482076166666664,0.0,0.003323992333333333,0.0,2020-11-20 03:00:00
2020-11-20 04:00:00,23.561304728000007,1001.9126027400018,98.5323141725,255.55633598966676,0.08347220116666666,0.0,0.07506369049999999,0.003500176,0.010360273833333333,0.0,2020-11-20 04:00:00
