DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
31,105,18,50
80,638,207,287
139,746,381,520
288,542,374,662
361,519,423,784
319,650,576,895
473,370,332,805
418,324,274,692
322,177,130,452
135,0,0,135
104,0,0,104
44,0,0,44
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
17,1,0,17
165,41,12,177
251,324,182,433
335,428,286,621
546,14,10,557
492,0,0,492
487,0,0,487
542,0,0,542
398,0,0,398
302,0,0,302
192,82,21,213
52,101,19,71
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
28,3,1,29
153,221,67,220
228,449,234,462
410,86,54,464
268,0,0,268
451,5,5,456
439,395,355,793
418,36,32,450
212,3,2,214
289,270,148,437
202,57,25,227
59,14,2,61
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
36,0,0,36
124,242,97,220
165,674,341,505
359,376,255,614
504,33,25,529
555,86,78,632
471,225,203,673
550,0,0,550
349,0,0,349
314,0,0,314
178,0,0,178
58,1,0,58
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
31,79,14,45
128,393,123,251
227,463,247,474
412,250,167,579
497,45,34,530
462,0,0,462
528,0,0,528
396,0,0,396
352,0,0,352
326,75,36,363
199,202,63,262
48,203,37,85
1,1,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
21,0,0,21
132,0,0,132
243,247,148,391
290,548,367,657
436,216,184,621
247,797,714,960
381,569,513,894
400,470,394,793
400,294,224,624
306,174,102,408
148,0,0,148
27,0,0,27
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
33,0,0,33
167,3,2,169
222,432,239,461
211,724,505,717
219,805,664,883
226,835,746,973
333,651,589,921
380,519,440,820
381,378,280,661
245,504,275,520
140,421,167,307
66,20,5,71
2,1,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
34,62,10,44
159,185,67,225
238,449,230,468
141,855,605,747
272,675,544,816
318,648,583,901
259,773,698,957
243,753,644,888
282,592,436,718
285,117,70,355
159,410,146,304
65,59,15,79
2,3,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
35,70,12,46
178,133,41,219
295,255,133,428
337,65,41,378
479,76,66,545
270,745,672,941
487,157,143,630
493,75,65,558
129,0,0,129
141,0,0,141
118,0,0,118
37,0,0,37
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
15,0,0,15
74,0,0,74
172,0,0,172
261,0,0,261
179,0,0,179
91,0,0,91
147,0,0,147
236,0,0,236
340,0,0,340
244,0,0,244
138,0,0,138
30,0,0,30
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
33,0,0,33
153,5,2,156
212,491,267,479
213,724,507,719
366,532,438,804
387,558,503,890
401,546,497,898
375,556,472,847
309,553,416,724
292,369,210,502
198,65,32,230
49,0,0,49
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
34,73,12,45
184,57,12,196
302,2,2,304
389,265,193,582
303,640,538,841
212,864,779,991
160,954,869,1029
157,935,801,958
150,893,663,813
130,825,476,606
135,509,199,335
63,142,27,91
2,4,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
26,155,26,52
77,673,213,289
99,864,452,551
109,949,666,774
113,993,826,939
117,1011,914,1031
120,1010,922,1042
118,993,852,971
115,953,709,824
187,597,369,556
204,206,57,261
55,216,45,99
2,6,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
27,143,24,50
100,545,177,276
108,841,439,546
185,781,552,737
