DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
125,444,175,301
42,217,31,73
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
90,5,2,92
108,607,276,384
229,439,257,485
423,20,18,441
478,10,9,486
380,0,0,380
355,0,0,355
237,1,1,238
387,285,206,593
324,111,77,401
190,173,59,248
45,26,7,52
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,4,1,3
44,455,97,141
76,785,333,409
89,899,574,663
106,937,763,868
107,973,908,1015
514,261,255,769
531,38,36,567
366,520,461,827
177,781,599,776
234,453,256,490
101,523,208,309
43,199,26,69
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
58,0,0,58
172,154,80,252
205,610,396,602
443,128,92,535
449,0,0,449
512,0,0,512
390,0,0,390
432,0,0,432
284,284,198,482
231,313,183,414
142,405,141,283
37,205,34,71
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
33,0,0,33
128,0,0,128
154,0,0,154
328,0,0,328
447,0,0,447
559,6,6,565
523,3,3,526
446,0,0,446
347,0,0,347
281,21,10,291
204,40,16,220
52,16,2,54
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
61,0,0,61
207,14,7,214
319,7,4,322
413,2,2,415
561,158,148,709
434,8,8,441
427,1,1,427
553,49,45,598
421,101,70,492
315,51,35,350
188,0,0,188
39,0,0,39
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
56,0,0,56
213,79,41,254
258,476,302,560
463,131,108,571
470,43,38,508
279,0,0,279
422,0,0,422
356,0,0,356
418,68,47,465
228,497,272,500
80,673,233,313
26,301,48,74
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,4,1,3
42,492,106,149
70,806,346,416
159,746,473,632
265,645,524,789
544,120,106,650
627,6,6,633
612,124,120,733
263,694,624,887
285,202,157,441
283,53,35,318
130,338,117,247
35,26,6,41
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
86,0,0,86
174,0,0,174
308,0,0,308
386,0,0,386
295,0,0,295
135,0,0,135
169,0,0,169
291,0,0,291
329,0,0,329
251,0,0,251
160,1,0,160
40,46,5,45
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,2,0,3
89,97,16,105
195,308,144,339
253,513,327,580
486,169,134,620
394,484,453,847
549,263,261,809
423,80,79,502
454,233,213,667
324,1,1,325
332,41,19,352
174,199,71,246
42,146,17,59
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,22,2,6
85,224,35,120
192,173,90,283
272,154,88,360
377,236,206,583
454,372,348,802
588,176,172,760
491,72,69,560
516,175,161,677
328,278,191,519
252,358,220,472
123,471,152,275
40,89,19,59
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
53,0,0,53
201,201,104,306
328,304,181,510
525,23,20,545
582,104,97,679
488,3,3,490
459,340,327,787
454,302,270,724
334,87,73,407
270,0,0,270
137,0,0,137
43,0,0,43
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,2,0,5
94,140,25,119
203,313,141,344
241,531,349,590
128,891,733,861
486,314,285,771
501,70,70,570
420,29,28,448
233,9,7,240
136,435,336,472
300,29,17,317
180,148,40,220
39,107,17,56
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,4,1,4
71,325,67,137
204,338,143,348
134,780,517,650
116,925,757,873
284,696,650,934
405,383,377,782
555,72,71,626
336,0,0,336
348,0,0,348
191,0,0,191
110,0,0,110
38,0,0,38
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,4
21,0,0,21
76,0,0,76
290,1,1,291
494,65,52,547
530,188,181,712
565,231,227,792
400,344,329,729
201,797,717,918
444,142,114,558
327,12,8,335
141,0,0,141
32,0,0,32
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
80,0,0,80
177,0,0,177
245,0,0,245
390,0,0,390
380,0,0,380
221,0,0,221
264,0,0,264
346,3,3,349
348,365,265,613
190,423,252,443
129,0,0,129
41,18,2,42
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
106,5,1,107
210,30,16,227
348,182,114,462
495,108,92,587
567,156,146,713
556,252,249,805
581,148,146,727
524,44,40,564
397,28,19,415
158,667,355,513
83,592,205,287
37,73,15,52
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,4,1,3
43,502,114,157
74,803,351,425
99,884,573,671
182,804,656,838
350,133,117,467
293,378,373,666
446,298,292,738
309,0,0,309
157,236,158,316
116,772,426,543
142,235,96,238
38,0,0,38
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,4,1,4
49,471,107,156
85,775,339,425
266,488,295,560
320,2,2,321
258,0,0,258
231,0,0,231
341,129,122,462
182,842,741,923
116,895,667,783
147,659,379,526
135,386,121,256
35,81,16,51
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,1,0,2
75,235,65,139
180,462,194,374
400,76,41,442
412,19,17,429
567,14,13,580
526,292,288,814
565,11,11,576
564,30,26,590
214,695,504,718
266,310,186,452
176,23,10,186
33,63,5,38
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
87,3,1,88
207,299,137,343
298,407,257,555
428,28,20,448
420,0,0,420
619,79,79,698
442,35,34,476
419,0,0,419
223,0,0,223
295,136,64,358
177,86,36,212
41,10,1,42
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,1,0,2
80,218,59,138
233,177,74,306
231,574,376,607
473,137,104,577
563,53,51,614
561,26,25,586
442,45,43,485
562,33,30,592
402,7,5,408
268,342,171,438
144,245,77,221
28,166,23,51
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,0,0,5
108,40,11,118
227,245,113,340
327,338,219,546
410,364,298,709
437,433,405,843
325,662,651,976
417,277,271,688
191,0,0,191
226,1,1,227
234,302,145,380
138,307,100,237
26,64,13,40
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
85,0,0,85
220,1,1,220
390,125,86,476
456,293,237,693
456,423,397,853
624,121,118,742
486,237,231,717
288,0,0,288
101,0,0,101
149,0,0,149
161,0,0,161
33,0,0,33
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
33,0,0,33
126,0,0,126
351,107,79,429
404,359,289,692
430,20,17,447
307,0,0,307
433,0,0,433
179,0,0,179
174,0,0,174
128,0,0,128
68,0,0,68
17,0,0,17
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
68,0,0,68
211,3,2,213
335,283,189,524
421,112,86,507
86,0,0,86
129,0,0,129
339,0,0,339
196,0,0,196
210,0,0,210
129,0,0,129
40,0,0,40
19,0,0,19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
22,0,0,22
58,0,0,58
97,0,0,97
264,0,0,264
355,0,0,355
250,0,0,250
316,0,0,316
341,0,0,341
254,0,0,254
239,0,0,239
116,0,0,116
21,0,0,21
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
94,0,0,94
254,85,43,297
309,371,246,554
317,539,446,763
537,211,190,727
596,163,159,755
597,128,123,720
315,587,501,816
95,922,672,767
120,728,399,519
111,444,138,249
28,119,17,45
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,0,0,5
67,1,0,68
230,142,70,300
318,340,214,532
422,15,11,433
478,268,258,735
431,269,260,691
392,2,2,394
442,100,89,531
136,0,0,136
186,0,0,186
100,0,0,100
31,0,0,31
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,0,0,6
110,1,0,111
268,60,25,293
407,71,51,458
475,47,36,511
250,0,0,250
417,4,4,421
471,372,354,825
313,582,511,824
344,278,210,554
149,0,0,149
118,0,0,118
26,0,0,26
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
98,34,10,109
228,241,105,333
335,282,191,526
187,781,644,831
153,905,838,991
421,481,467,888
271,721,685,956
458,240,218,676
386,148,96,483
266,75,48,314
162,56,16,178
32,8,2,33
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
71,0,0,71
260,5,2,262
315,2,1,316
247,0,0,247
59,0,0,59
33,0,0,33
181,0,0,181
280,0,0,280
321,200,130,451
243,155,89,332
149,216,59,208
23,51,10,33
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
45,0,0,45
129,236,126,255
206,346,207,413
442,36,31,473
192,20,18,210
476,217,211,687
257,40,39,295
370,0,0,370
431,0,0,431
261,0,0,261
109,0,0,109
23,0,0,23
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
75,0,0,75
173,0,0,173
246,0,0,246
287,1,1,287
557,99,93,649
584,46,44,629
436,7,6,442
526,22,18,544
463,31,22,485
323,63,30,353
145,24,10,155
26,0,0,26
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,1,0,2
69,287,77,146
97,722,320,418
122,830,539,661
146,871,708,854
465,334,300,765
468,0,0,468
275,0,0,275
416,24,19,435
227,646,452,679
248,176,108,357
64,0,0,64
18,0,0,18
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
87,0,0,87
237,109,58,294
293,54,29,322
359,0,0,359
333,0,0,333
443,19,18,461
462,128,122,585
77,0,0,77
45,0,0,45
149,0,0,149
98,0,0,98
19,0,0,19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
88,0,0,89
253,100,51,304
263,494,321,585
246,674,555,801
274,706,648,922
439,445,429,869
536,126,122,658
399,0,0,399
307,0,0,307
207,0,0,207
137,0,0,137
17,0,0,17
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,4,1,6
58,427,100,158
90,753,334,424
181,702,451,632
247,681,543,790
434,328,298,732
601,0,0,601
358,0,0,358
372,6,4,376
295,401,287,582
258,30,19,277
135,0,0,135
25,0,0,25
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
106,48,15,121
208,323,149,357
298,419,264,563
382,363,306,689
202,828,761,963
348,616,591,939
561,194,184,744
382,450,385,767
256,592,407,664
263,234,137,401
143,11,5,147
29,9,1,30
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,4
99,0,0,100
256,72,37,293
325,318,207,532
331,492,405,736
423,401,368,791
478,116,109,587
210,0,0,210
182,0,0,182
250,2,1,251
254,114,60,313
116,232,70,187
23,46,4,27
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,41,4,10
104,26,4,108
126,580,271,397
236,566,363,599
489,127,93,582
395,10,9,404
460,353,340,800
412,90,86,498
520,2,1,521
416,120,87,503
247,325,145,392
114,124,52,166
22,45,4,26
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,2,0,6
102,147,26,127
276,6,3,279
296,169,106,402
219,0,0,219
354,0,0,354
383,66,64,446
397,488,451,847
141,888,757,898
279,513,361,641
229,343,191,421
151,5,1,152
28,27,2,30
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,3,0,6
67,357,86,153
105,709,314,419
152,784,500,652
140,888,718,858
495,250,220,715
603,87,84,687
349,0,0,349
420,2,1,422
362,113,81,442
188,426,204,393
83,539,154,237
19,110,16,35
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,1,0,6
81,228,62,143
99,722,319,418
148,779,499,647
125,909,732,857
286,687,622,908
334,629,600,934
385,507,477,862
419,160,139,558
367,0,0,367
210,5,1,212
104,402,105,208
21,61,11,32
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,48,5,10
44,541,123,167
67,828,362,428
82,916,587,669
203,759,600,802
541,119,106,647
513,89,84,597
545,34,32,577
421,0,0,421
202,3,2,203
251,241,121,372
135,254,63,198
19,64,11,30
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
66,1,0,66
239,119,56,294
402,64,37,439
475,42,36,511
565,21,18,582
245,0,0,245
247,0,0,247
449,28,24,473
181,0,0,181
180,0,0,180
49,0,0,49
18,0,0,18
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7,8,1,8
85,174,46,131
264,95,32,295
250,0,0,250
212,0,0,212
508,0,0,508
454,0,0,454
573,0,0,573
414,19,15,429
308,9,7,316
204,0,0,204
83,0,0,83
15,0,0,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
64,0,0,64
208,0,0,208
331,30,21,352
510,60,49,560
300,290,261,561
223,0,0,223
397,180,162,559
371,212,185,556
344,44,31,375
182,0,0,182
65,0,0,65
13,0,0,13
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,0,0,6
104,0,0,104
225,59,32,257
153,712,466,619
303,552,433,736
259,698,629,889
493,310,292,786
185,837,772,957
322,462,379,701
180,686,490,671
129,702,340,469
84,511,143,228
16,126,18,34
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,3,1,6
77,174,30,107
218,190,96,314
319,251,162,481
300,469,362,662
538,129,120,658
363,568,536,899
159,426,387,545
292,599,508,800
326,181,122,447
246,236,108,354
86,480,141,226
22,66,9,30
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,0,0,5
103,58,17,120
101,664,301,402
85,901,571,657
102,936,742,845
427,383,336,763
491,2,2,493
427,0,0,427
452,0,0,452
312,0,0,312
174,0,0,174
83,28,5,88
23,51,6,29
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,0,0,5
63,0,0,63
232,109,57,289
255,480,307,562
374,191,142,516
155,0,0,155
97,0,0,97
203,0,0,203
247,0,0,247
385,37,23,408
223,19,11,235
84,0,0,84
14,0,0,14
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
94,54,16,110
186,373,168,354
347,266,156,503
489,139,117,605
469,339,306,775
426,471,442,867
405,40,38,442
201,0,0,201
52,0,0,52
175,0,0,175
148,37,6,154
19,19,3,22
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,4
80,0,0,80
242,70,36,278
369,163,97,467
445,224,176,620
542,13,11,553
421,90,85,506
262,213,189,452
192,802,662,855
278,142,111,389
162,0,0,162
108,0,0,108
16,0,0,16
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
46,0,0,46
145,0,0,145
229,0,0,229
301,83,70,370
356,41,35,391
328,0,0,328
483,0,0,483
277,0,0,277
336,0,0,336
163,126,51,214
100,63,25,125
17,27,2,19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,0,0,5
70,261,73,142
154,510,219,373
333,256,144,476
253,0,0,253
401,0,0,401
575,36,33,609
427,38,34,461
470,14,12,483
249,1,0,249
273,34,17,290
140,124,26,166
20,64,9,29
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,26,3,8
53,461,102,155
92,747,318,410
113,858,536,649
379,351,260,639
458,127,112,570
418,5,4,422
379,483,436,816
242,715,591,833
304,442,307,610
151,211,95,246
128,202,67,194
24,21,2,26
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,3,0,5
61,361,82,143
110,672,286,396
135,803,501,636
329,521,399,728
345,571,509,854
471,117,107,578
251,0,0,251
384,34,26,410
227,361,253,479
125,2,1,125
129,131,37,167
21,24,2,23
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
102,31,7,108
258,76,36,294
296,396,254,550
253,677,530,783
364,502,437,801
427,380,354,780
480,309,281,761
479,26,23,502
134,5,3,137
172,294,150,321
86,0,0,86
15,0,0,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,2,0,4
71,242,56,127
145,521,222,367
185,678,422,607
205,767,597,802
304,650,575,879
426,452,417,843
403,22,20,423
545,39,33,577
292,2,1,293
213,253,114,327
124,235,66,189
20,48,7,27
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,1,0,5
71,238,61,133
106,682,288,393
125,820,508,633
136,888,690,826
168,879,773,940
489,140,128,617
526,202,181,708
515,79,68,583
433,19,11,444
228,390,179,407
110,310,94,204
22,36,4,27
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,4
81,114,30,111
172,391,166,338
248,512,317,565
369,449,342,711
621,42,35,656
499,0,0,499
496,0,0,496
340,8,6,347
195,6,4,200
229,128,65,293
144,26,7,152
23,18,2,24
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
96,4,1,98
243,127,53,296
317,322,196,513
429,284,223,651
433,336,300,733
363,360,330,693
459,266,239,698
381,31,27,408
184,0,0,184
206,49,20,225
145,25,10,155
21,0,0,21
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,4
68,0,0,68
120,0,0,120
128,0,0,128
294,6,5,298
436,329,287,722
409,145,134,543
463,0,0,463
266,0,0,266
35,0,0,35
75,111,44,119
102,320,97,199
20,0,0,20
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
66,164,46,111
91,716,299,391
252,404,227,479
363,32,24,387
316,159,143,459
439,419,383,822
444,37,34,478
180,0,0,180
320,44,26,346
226,195,100,326
128,22,4,132
17,11,2,19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
44,0,0,44
168,0,0,168
321,0,0,321
404,0,0,404
452,0,0,452
319,0,0,319
219,0,0,219
172,0,0,172
333,0,0,333
186,0,0,186
122,0,0,122
16,0,0,16
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
78,113,31,109
151,486,202,353
266,451,260,526
478,77,61,539
437,371,325,762
386,502,458,844
476,36,33,509
198,0,0,198
124,0,0,124
75,0,0,75
55,0,0,55
13,0,0,13
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,2,0,1
87,116,18,105
161,382,175,335
147,747,445,593
325,410,321,647
295,628,542,838
275,688,626,902
272,674,605,876
349,476,386,735
309,60,46,355
94,0,0,94
74,0,0,74
17,0,0,17
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
27,0,0,27
143,6,4,147
196,369,217,413
194,0,0,194
129,0,0,129
162,0,0,162
174,0,0,174
324,0,0,324
358,0,0,358
299,19,9,308
143,85,24,167
19,0,0,19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
64,0,0,64
190,1,0,190
346,185,121,466
223,702,537,760
399,453,387,786
504,239,217,721
429,382,334,763
471,135,116,586
259,548,353,612
152,587,297,449
143,113,35,178
24,13,2,26
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
91,0,0,91
225,9,3,228
362,0,0,362
420,68,55,475
424,34,28,452
301,0,0,301
461,0,0,461
334,1,0,334
333,36,25,357
238,0,0,238
83,0,0,83
15,0,0,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
88,1,0,88
224,124,56,280
338,186,116,454
362,392,298,660
404,82,66,470
396,0,0,396
120,0,0,120
93,0,0,93
135,0,0,135
144,0,0,144
90,0,0,90
19,0,0,19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
76,1,0,76
235,51,22,257
256,425,254,510
439,63,43,482
303,0,0,303
286,168,152,438
255,394,352,607
43,0,0,43
57,0,0,57
49,0,0,49
52,0,0,52
17,14,1,18
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
65,0,0,65
150,1,1,151
